season,team,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,pressures_per_prsnap,sacks_per_prsnap,hits_per_prsnap,tfl_per_rundef,stops_per_rundef,yards_per_target,tds_per_target,ints_per_target,pbus_per_target,missed_tackle_pct,tackles_per_snap,stops_per_snap,penalties_per_snap,def_plays,def_epa_total,def_epa_per_play
2021,ARI,370,217,23,74.55833333333334,4,19,36,14,1,57.85625,59.32777777777778,66.29722222222222,61.512903225806454,58.58787878787879,56.913333333333334,72,150,1,13,614.0,13.206666666666667,139,30,49,2335.3,385,41,0,2893,2132,4656,12635,5100,293,1525,2777,505,1171,7535,3059,4920,1328,396,775,61,543,263,33,4217,1853,10.92608695652174,3.4563733231391836,0.2197907298410746,1.0524816222354403,0.3241259613260729,3.3399103913027877,191.48507963192358,0.9453284970189696,0.5894978044366828,1.0578899957779837,396.2,2.197629013258942,1.0830275815232004,2.193498332390641,1439,-63.054184536819996,-0.043818057357067404
2021,ATL,336,248,9,76.73913043478261,10,10,70,7,0,58.859375,56.994285714285716,69.14285714285714,59.28333333333333,56.593548387096774,54.36,43,122,2,12,512.0,12.706666666666667,149,40,41,2275.0,378,15,0,3044,2024,4453,12690,5028,588,1423,2587,430,1385,7662,2754,5483,1198,364,803,50,529,180,28,3960,1960,10.560869565217391,4.316664190513288,0.4066335072632918,1.2235040131623587,0.3825162639330113,2.7197061783014376,188.81329615153692,0.8663662387307141,0.3463850325919289,0.9249151853783745,381.2,2.231000253828582,1.201678044711935,0.0707147832405521,1419,65.73401798343001,0.046324184625391125
2021,BAL,348,202,10,76.0625,6,8,111,6,0,58.309375,60.08918918918919,74.5891891891892,61.578125,59.93055555555556,57.35,62,181,1,9,903.0,12.359375,141,39,37,2498.4,402,36,0,2881,1960,4824,12067,4892,666,1113,2667,446,1114,7175,3089,4154,1208,357,719,56,590,279,32,5073,2590,12.299999999999999,4.744569514098153,0.6476045861846478,0.662862029758353,0.3427608978069354,3.0252559752167385,222.89962649527152,1.2680653794951369,0.3072772216042515,2.6661501633125972,395.5,1.9555144428952098,1.016607511139234,1.0810795660786112,1379,21.720515367739996,0.01575091759807106
2021,BUF,370,221,13,68.7,13,11,140,8,0,63.938709677419354,63.248571428571424,59.04705882352941,64.109375,57.943333333333335,57.97931034482759,56,252,1,21,535.0,12.934482758620689,138,45,68,1628.0,354,50,0,3142,2186,5110,13408,5243,197,1575,2764,707,1402,8165,3273,5025,1424,419,763,66,559,358,17,3657,1935,9.015,4.517858186767742,0.683133276525925,0.4194857756784884,0.3260364406735338,2.345904628066936,132.16012534991197,0.6662471156420746,1.2807374532394549,2.655310706565964,375.09999999999997,1.5219908720455813,0.9325978436560522,1.1524838848098231,1525,-122.1712549183,-0.08011229830708197
2021,CAR,355,212,13,77.4375,7,10,165,7,0,58.65714285714286,57.96666666666667,63.012121212121215,62.44444444444444,57.9,56.584848484848486,58,157,0,9,679.0,14.509090909090908,139,23,43,2484.7,343,48,0,2925,2002,4156,12112,5030,523,1171,2676,660,975,7082,2769,5187,1180,402,734,61,473,263,27,3609,1684,11.112499999999999,3.1314861444415043,0.4418176394077567,0.667314457573762,0.3056098900086289,2.5064282537971874,210.1363943828716,3.2187888091915107,0.47767324888226526,0.4697653486799247,478.79999999999995,1.8739934946605916,1.135866991320281,0.1255831202589297,1367,-68.1588552917,-0.04986017212267739
2021,CHI,335,212,7,73.37083333333334,13,12,222,7,0,59.12352941176471,56.02162162162163,53.84324324324324,62.820689655172416,54.888888888888886,55.503125,33,144,1,8,693.0,14.11875,133,36,58,2419.3,315,56,1,2691,1886,3967,11650,4755,357,1321,2373,704,1138,6895,2503,5180,1169,387,714,48,452,233,32,3666,1749,11.07391304347826,2.8788064483461153,0.8808069886955587,0.2817280374838921,0.238077366509873,2.159403508917352,202.60268080245592,2.388453879121045,0.2530687781109444,1.4330610533477848,451.8,1.846124527704212,0.97852921931352,0.206906427330666,1310,-6.0637551904999984,-0.0046288207561068695
2021,CIN,439,290,5,80.25,5,16,266,10,1,61.03714285714286,56.718421052631584,72.08684210526316,60.93636363636364,54.1,57.87105263157895,63,235,1,22,740.0,12.026315789473685,182,51,41,2819.0,546,64,0,3319,3059,6660,16206,6558,485,2248,3131,694,1625,9648,3968,5578,1634,465,980,66,772,362,35,5983,2586,10.935714285714285,2.9231752825517145,0.3415131054727697,0.39698757251583683,0.2663540725502412,2.837858033335165,246.1336867968391,1.259848229651516,1.293760349709362,1.5309966713677867,457.0,2.22397781931575,0.9200462243387492,0.077261855562199,1756,-61.02096129774,-0.03474997795998861
2021,CLE,349,211,12,71.87083333333334,13,10,296,5,1,63.68125,61.61081081081081,63.221621621621615,62.829032258064515,57.89729729729729,57.99393939393939,56,174,1,13,638.0,12.01818181818182,137,49,60,2230.8,371,53,0,2907,2030,4759,12634,4930,134,1587,2448,761,1415,7704,3009,4866,1330,393,736,48,545,283,29,3759,1947,10.673913043478262,4.508415900175517,1.1425527012894925,1.0345777155797915,0.2847694224538957,2.6355385967582325,186.52739355142091,1.2385753286712662,0.3499075047350562,2.3728143393127725,396.6,1.9662953896676636,1.0045215301425883,2.120628175770993,1372,4.472087987199997,0.0032595393492711347
2021,DAL,340,192,7,71.74,13,12,333,8,1,61.71111111111111,61.7,56.72432432432433,64.10454545454546,56.65,61.690322580645166,66,232,5,27,540.0,9.387096774193548,123,45,66,1759.7,371,47,0,2883,2214,5023,12933,5022,293,1461,2823,445,1415,7911,3124,4786,1388,399,743,53,577,345,24,4432,2314,11.0,3.027373079354199,0.4968316214172409,0.7444650488516354,0.3099243619740477,3.324955144570808,157.68476849443277,2.2676275904007,2.435835354346625,0.8743703833687094,291.0,2.0512235566479133,1.2159033479228085,4.163000510371586,1540,-125.04296261086999,-0.0811967289680974
2021,DEN,335,218,12,73.18095238095238,6,7,350,6,0,60.99677419354839,59.04,68.60571428571428,61.92580645161291,57.81212121212121,59.630303030303025,45,166,1,13,575.0,12.090909090909092,119,42,31,1921.6,370,37,0,2939,1948,4653,12272,4714,349,1636,2060,669,1303,7558,2873,4746,1367,338,747,41,554,248,22,4181,2180,9.752380952380953,4.784874679853539,1.3191670920265237,0.9497271447160027,0.3137177499867829,2.432962356069324,147.9817162956575,0.5629693103715423,0.2756008931619068,1.2959928584713443,399.0,2.1439735717968156,0.9132770993666492,0.071388690387045,1330,1.5258642333000085,0.0011472663408270741
2021,DET,332,235,10,76.396,6,10,374,7,0,55.63870967741936,54.15882352941177,69.09411764705882,60.21851851851852,53.4264705882353,53.81818181818182,31,128,0,11,806.0,13.98181818181818,166,41,39,2600.0,353,31,0,2807,1972,4243,12323,5005,440,1458,2585,522,1473,7318,2673,5407,1066,363,773,36,504,190,29,4234,1868,12.767999999999999,3.5255052612115225,0.3523776955410113,1.5886850063852427,0.1757555585510142,1.9363206208929957,237.66763539172376,1.5479717726562043,0.3743663341489427,1.8384323250382153,461.4,2.159023564122879,0.8659504435227693,0.08468836089448989,1388,84.71394490249999,0.06103310151476944
2021,GB,357,189,8,73.91111111111111,6,8,396,7,0,62.896428571428565,61.76969696969697,67.16363636363637,64.99615384615385,55.97586206896552,63.4,54,273,2,19,703.0,9.772413793103448,101,42,33,1687.4,387,47,0,2411,2113,5020,12639,5175,323,1471,2675,706,1442,7464,3241,4378,1487,349,736,33,582,374,31,4123,2097,10.794444444444444,3.1211554574244333,0.3236586953319912,1.07492928342588,0.168983310542348,2.460074838218691,140.82967586657318,0.6712639714488156,0.3791824131603606,1.00596117995412,283.4,1.5874534872571378,0.8363913499229282,0.1021104226014381,1396,7.769522646699995,0.005565560635171917
2021,HOU,309,230,9,68.93529411764706,7,14,468,6,0,56.075,54.452777777777776,62.96666666666667,62.48518518518518,56.214285714285715,54.34375,42,146,1,17,584.0,15.341935483870968,156,33,44,1682.8,341,31,1,2678,1948,4075,11752,4534,204,1710,2242,378,1381,7218,2439,5238,1211,339,732,53,477,219,30,4143,1664,13.45,3.5633489206805917,0.4554323358517639,0.5953341245991342,0.275599858447282,1.7910737971531847,153.8021213609626,0.9700389038269444,0.7603411408291613,1.1222090917401666,475.6,2.0185059918816135,0.8079461022059383,0.4008983446543763,1392,48.819485783199994,0.03507146967183908
2021,IND,340,221,6,63.76818181818182,12,15,448,13,1,61.878571428571426,63.234375,68.978125,63.108000000000004,61.543749999999996,59.62222222222222,56,191,0,19,544.0,11.85925925925926,126,42,34,1894.7,388,40,0,2706,2030,4709,11973,4639,554,1147,2405,533,1372,7334,2920,4344,1215,352,741,35,569,287,31,4128,1828,10.942105263157895,3.150288144921377,0.2524817335959671,0.7264614370161755,0.1467106520338462,2.031652592604472,146.55754078440773,0.898372660072863,1.4070488630645026,2.1593723487575534,320.2,1.5995876056188105,0.723666673592835,1.0769101602759974,1359,-43.407797292190004,-0.03194098402662988
2021,JAC,343,259,10,74.85652173913044,6,6,495,2,0,55.793103448275865,54.23939393939394,67.46666666666667,61.827586206896555,54.996875,55.086666666666666,53,188,0,7,593.0,15.59,145,26,34,2247.0,374,36,0,2869,1888,4159,12247,5196,332,1671,2695,498,1221,7051,2826,5262,1048,391,785,36,505,277,23,4107,1895,11.704545454545455,4.149484910499444,0.2345581994764765,0.988125483420621,0.1811913613474808,2.033252394708226,214.28167753368993,1.6424563822536011,0.3360554170322811,0.7157622492276552,467.7,1.880623204219213,0.9052313621319436,0.0647343006164434,1375,118.7174978276,0.08633999842007273
2021,KC,397,244,17,72.02000000000001,5,20,560,13,2,63.05357142857143,62.85142857142858,69.05714285714286,63.26,59.745714285714286,61.92962962962962,69,272,2,16,663.0,10.085185185185185,144,43,52,1901.3,484,43,0,3584,2413,5716,14750,5996,247,1852,3297,600,1196,8754,3894,5140,1539,401,889,53,679,384,35,5305,2835,10.044444444444444,4.216071124844777,0.1777014479587009,0.45058466524638247,0.7735571409483009,3.7865761250280032,140.27661523495743,0.6578288774290442,0.283119310271782,0.7430906857256775,272.3,2.420274634071634,1.387686754242006,1.5655274316027545,1632,40.4705477874,0.02479812977169118
2021,LAC,337,256,6,78.4047619047619,17,18,972,9,1,59.328125,57.080555555555556,61.794444444444444,64.852,57.03548387096774,55.59032258064516,49,165,0,11,662.0,12.864516129032259,150,29,69,2105.5,357,36,0,2813,2063,4502,12747,5228,489,1279,2530,930,1364,7519,2865,5380,1268,356,792,49,508,250,27,3978,1931,12.347619047619048,3.908914693021352,0.7305688782931704,1.8890844957519037,0.19840604902357808,1.9558826556259652,203.4903107812781,0.7703431295921205,0.5786815163078753,0.5343452140964774,398.8,2.2610665536280985,0.893002678148258,3.1660655506493125,1434,48.080631989859995,0.033529032071032076
2021,LAR,393,306,11,73.63333333333333,9,13,910,5,0,61.52758620689655,64.92,64.91142857142857,63.47599999999999,66.39090909090909,62.233333333333334,51,316,1,23,616.0,9.923333333333334,156,51,49,1885.0,473,74,0,2454,2607,5898,15330,6655,644,1289,3414,1308,1894,8675,4014,5418,1702,479,921,65,678,441,22,5121,2524,10.205,3.348259741312147,0.3639748314900429,0.3225951238677659,0.2526823636127375,2.8479036436478067,156.51632503899697,0.750507589932195,0.5535549094889486,1.0598950282908002,297.7,2.7321853407631354,0.8909898672675034,1.0676038637132954,1749,-94.43704818031,-0.053994881749748425
