position,my_war,pff_war,salary,market_implied_war,my_war_rank,pff_war_rank,salary_rank,my_war_prop,pff_war_prop,salary_prop
EDGE,0.14,0.06,4327174,0.15163602909198132,1.0,4.5,1.0,0.25,0.08695652173913043,0.27077862337853803
IDL,0.09,0.06,3398998,0.11911019977740352,5.0,4.5,2.0,0.1607142857142857,0.08695652173913043,0.21269678531679198
LB,0.11,0.11,2538590,0.08895914679941525,3.0,3.0,5.0,0.19642857142857142,0.15942028985507248,0.15885561928467007
CB,0.1,0.23,2960083,0.10372941598897556,4.0,1.5,3.0,0.17857142857142858,0.33333333333333337,0.18523109998031348
S,0.12,0.23,2755641,0.0965652083422244,2.0,1.5,4.0,0.21428571428571425,0.33333333333333337,0.1724378720396864
