gsis_id,role
00-0038107,EDGE
00-0038111,CB
00-0038113,LB
00-0038116,EDGE
00-0038119,CB
00-0038121,CB
00-0038123,S
00-0038125,CB
00-0038126,IDL
00-0038127,IDL
00-0038133,EDGE
00-0038135,S
00-0038136,S
00-0038142,EDGE
00-0038348,CB
00-0038359,UNKNOWN
00-0038368,S
00-0038386,IDL
00-0038387,IDL
00-0038388,CB
00-0038390,IDL
00-0038395,CB
00-0038398,IDL
00-0038401,CB
00-0038403,CB
00-0038404,EDGE
00-0038405,IDL
00-0038407,CB
00-0038408,CB
00-0038411,S
00-0038412,IDL
00-0038414,S
00-0038423,EDGE
00-0038462,EDGE
00-0038463,EDGE
00-0038468,UNKNOWN
00-0038470,S
00-0038475,S
00-0038477,UNKNOWN
00-0038479,LB
00-0038482,S
00-0038487,CB
00-0038488,UNKNOWN
00-0038489,LB
00-0038493,LB
00-0038498,UNKNOWN
00-0038499,LB
00-0038504,LB
00-0038505,EDGE
00-0038506,IDL
00-0038513,LB
00-0038514,EDGE
00-0038523,CB
00-0038535,EDGE
00-0038541,EDGE
00-0038545,IDL
00-0038546,EDGE
00-0038549,CB
00-0038552,CB
00-0038553,LB
00-0038554,S
00-0038555,UNKNOWN
00-0038556,LB
00-0038557,LB
00-0038560,S
00-0038561,IDL
00-0038565,CB
00-0038568,CB
00-0038570,LB
00-0038572,IDL
00-0038573,UNKNOWN
00-0038574,EDGE
00-0038576,UNKNOWN
00-0038577,EDGE
00-0038578,S
00-0038580,EDGE
00-0038581,EDGE
00-0038584,IDL
00-0038585,CB
00-0038587,S
00-0038588,S
00-0038591,IDL
00-0038594,CB
00-0038596,CB
00-0038597,UNKNOWN
00-0038599,LB
00-0038600,LB
00-0038602,HYBRID
00-0038603,EDGE
00-0038605,IDL
00-0038606,UNKNOWN
00-0038611,UNKNOWN
00-0038613,S
00-0038614,IDL
00-0038616,CB
00-0038617,LB
00-0038623,IDL
00-0038624,CB
00-0038625,LB
00-0038628,S
00-0038634,IDL
00-0038635,EDGE
00-0038636,UNKNOWN
00-0038639,CB
00-0038640,UNKNOWN
00-0038641,CB
00-0038643,UNKNOWN
00-0038644,S
00-0038646,CB
00-0038648,LB
00-0038653,IDL
00-0038655,CB
00-0038657,S
00-0038660,EDGE
00-0038661,EDGE
00-0038663,CB
00-0038666,EDGE
00-0038674,CB
00-0038682,EDGE
00-0038684,CB
00-0038694,IDL
00-0038696,S
00-0038711,LB
00-0038715,S
00-0038717,CB
00-0038724,EDGE
00-0038728,UNKNOWN
00-0038735,UNKNOWN
00-0038737,EDGE
00-0038738,UNKNOWN
00-0038742,EDGE
00-0038752,UNKNOWN
00-0038753,UNKNOWN
00-0038765,S
00-0038782,EDGE
00-0038783,HYBRID
00-0038788,CB
00-0038791,EDGE
00-0038795,IDL
00-0038801,EDGE
00-0038807,LB
00-0038811,CB
00-0038812,CB
00-0038819,CB
00-0038820,CB
00-0038823,S
00-0038835,EDGE
00-0038841,UNKNOWN
00-0038845,S
00-0038848,S
00-0038850,IDL
00-0038851,EDGE
00-0038856,EDGE
00-0038865,EDGE
00-0038866,S
00-0038877,CB
00-0038890,LB
00-0038908,LB
00-0038922,LB
00-0038935,UNKNOWN
00-0038937,IDL
00-0038939,IDL
00-0038940,IDL
00-0038951,UNKNOWN
00-0038956,CB
00-0038958,EDGE
00-0038961,CB
00-0038966,CB
00-0038976,UNKNOWN
00-0038978,EDGE
00-0038980,EDGE
00-0038982,CB
00-0038984,CB
00-0038985,IDL
00-0038986,CB
00-0038995,IDL
00-0039000,CB
00-0039002,S
00-0039003,LB
00-0039006,EDGE
00-0039007,CB
00-0039009,EDGE
00-0039013,EDGE
00-0039018,LB
00-0039031,IDL
00-0039038,LB
00-0039045,IDL
00-0039047,EDGE
00-0039049,LB
00-0039051,CB
00-0039052,UNKNOWN
00-0039053,EDGE
00-0039054,S
00-0039061,IDL
00-0039063,IDL
00-0039068,EDGE
00-0039070,IDL
00-0039071,CB
00-0039072,CB
00-0039076,EDGE
00-0039108,EDGE
00-0039110,IDL
00-0039111,EDGE
00-0039112,EDGE
00-0039133,CB
00-0039134,CB
00-0039135,EDGE
00-0039136,UNKNOWN
00-0039137,EDGE
00-0039138,IDL
00-0039140,CB
00-0039141,CB
00-0039142,EDGE
00-0039143,EDGE
00-0039147,CB
00-0039148,EDGE
00-0039149,S
00-0039151,CB
00-0039155,EDGE
00-0039167,CB
00-0039169,CB
00-0037799,EDGE
00-0038778,IDL
00-0039232,CB
00-0039234,UNKNOWN
00-0039235,S
00-0039236,UNKNOWN
00-0039241,S
00-0039284,EDGE
00-0039285,S
00-0039289,IDL
00-0039291,EDGE
00-0039292,CB
00-0039306,UNKNOWN
00-0039309,IDL
00-0039312,CB
00-0039313,LB
00-0039318,LB
00-0039324,CB
00-0039333,CB
00-0039340,EDGE
00-0039343,CB
00-0039345,CB
00-0039346,LB
00-0039347,LB
00-0039352,LB
00-0039353,CB
00-0039354,IDL
00-0039355,UNKNOWN
00-0039357,CB
00-0039360,S
00-0039365,UNKNOWN
00-0039366,CB
00-0039367,EDGE
00-0039368,LB
00-0039369,CB
00-0039370,LB
00-0039371,CB
00-0039372,CB
00-0039374,LB
00-0039375,CB
00-0039377,LB
00-0039378,CB
00-0039380,CB
00-0039382,EDGE
00-0039385,UNKNOWN
00-0039387,CB
00-0039394,UNKNOWN
00-0039396,IDL
00-0039400,IDL
00-0039401,IDL
00-0039402,IDL
00-0039406,LB
00-0039412,EDGE
00-0039414,S
00-0039417,CB
00-0039421,IDL
00-0039423,IDL
00-0039425,EDGE
00-0039427,EDGE
00-0039430,LB
00-0039431,IDL
00-0039435,LB
00-0039436,EDGE
00-0039450,EDGE
00-0039453,S
00-0039454,CB
00-0039457,LB
00-0039465,CB
00-0039470,IDL
00-0039472,S
00-0039481,CB
00-0039510,IDL
00-0039513,S
00-0039515,LB
00-0039519,EDGE
00-0039532,S
00-0039539,EDGE
00-0039565,LB
00-0039566,S
00-0039586,CB
00-0039601,S
00-0039614,UNKNOWN
00-0039620,CB
00-0039637,LB
00-0039640,EDGE
00-0039660,S
00-0039676,CB
00-0039681,UNKNOWN
00-0039692,S
00-0039696,IDL
00-0039707,LB
00-0039714,CB
00-0039715,EDGE
00-0039718,EDGE
00-0039720,IDL
00-0039733,IDL
00-0039734,IDL
00-0039740,EDGE
00-0039741,LB
00-0039743,IDL
00-0039746,UNKNOWN
00-0039749,UNKNOWN
00-0039752,EDGE
00-0039763,LB
00-0039764,IDL
00-0039770,CB
00-0039772,CB
00-0039774,LB
00-0039776,S
00-0039789,CB
00-0039791,EDGE
00-0039795,CB
00-0039807,CB
00-0039809,EDGE
00-0039812,LB
00-0039813,S
00-0039815,LB
00-0039818,S
00-0039821,CB
00-0039825,S
00-0039826,LB
00-0039829,LB
00-0039834,S
00-0039835,IDL
00-0039836,EDGE
00-0039838,S
00-0039840,EDGE
00-0039841,CB
00-0039846,CB
00-0039850,LB
00-0039852,EDGE
00-0039854,IDL
00-0039858,LB
00-0039859,IDL
00-0039860,CB
00-0039861,S
00-0039862,CB
00-0039864,S
00-0039867,S
00-0039872,S
00-0039873,IDL
00-0039875,UNKNOWN
00-0039877,EDGE
00-0039878,LB
00-0039879,EDGE
00-0039880,UNKNOWN
00-0039881,S
00-0039886,IDL
00-0039888,CB
00-0039889,IDL
00-0039898,CB
00-0039900,EDGE
00-0039902,EDGE
00-0039903,CB
00-0039906,IDL
00-0039908,IDL
00-0039911,EDGE
00-0039924,EDGE
00-0039944,EDGE
