gsis_id,role
00-0033058,LB
00-0033059,CB
00-0033064,IDL
00-0033066,IDL
00-0033072,EDGE
00-0033073,EDGE
00-0033083,S
00-0033084,CB
00-0033093,IDL
00-0033096,EDGE
00-0033103,CB
00-0033109,IDL
00-0033120,IDL
00-0033123,EDGE
00-0033125,LB
00-0033129,EDGE
00-0033131,IDL
00-0033132,S
00-0033156,EDGE
00-0033251,UNKNOWN
00-0033281,CB
00-0033283,EDGE
00-0033289,CB
00-0033292,UNKNOWN
00-0033294,S
00-0033297,IDL
00-0033298,EDGE
00-0033302,S
00-0033324,EDGE
00-0033336,LB
00-0033344,LB
00-0033347,IDL
00-0033357,UNKNOWN
00-0033367,UNKNOWN
00-0033381,IDL
00-0033387,UNKNOWN
00-0033392,LB
00-0033393,CB
00-0033403,EDGE
00-0033405,CB
00-0033430,CB
00-0033435,CB
00-0033445,LB
00-0033452,LB
00-0033461,LB
00-0033463,EDGE
00-0033467,UNKNOWN
00-0033469,IDL
00-0033481,UNKNOWN
00-0033503,CB
00-0033512,S
00-0033523,IDL
00-0033524,CB
00-0033525,EDGE
00-0033539,LB
00-0033540,EDGE
00-0033541,EDGE
00-0033544,CB
00-0033545,S
00-0033546,IDL
00-0033547,LB
00-0033548,CB
00-0033549,LB
00-0033551,CB
00-0033555,UNKNOWN
00-0033557,LB
00-0033563,IDL
00-0033568,CB
00-0033571,LB
00-0033577,LB
00-0033579,S
00-0033580,LB
00-0033582,IDL
00-0033588,EDGE
00-0033589,UNKNOWN
00-0033591,UNKNOWN
00-0033592,CB
00-0033598,IDL
00-0033649,S
00-0033697,CB
00-0033716,LB
00-0033725,UNKNOWN
00-0033734,S
00-0033746,EDGE
00-0033765,LB
00-0033770,CB
00-0033782,EDGE
00-0033783,CB
00-0033784,S
00-0033790,LB
00-0033791,S
00-0033792,S
00-0033854,UNKNOWN
00-0033860,IDL
00-0033868,EDGE
00-0033870,IDL
00-0033872,S
00-0033874,CB
00-0033875,EDGE
00-0033876,EDGE
00-0033877,S
00-0033878,CB
00-0033880,EDGE
00-0033883,S
00-0033884,CB
00-0033886,EDGE
00-0033890,S
00-0033892,S
00-0033894,S
00-0033902,EDGE
00-0033903,S
00-0033905,IDL
00-0033907,EDGE
00-0033908,UNKNOWN
00-0033912,EDGE
00-0033913,IDL
00-0033914,LB
00-0033917,EDGE
00-0033918,CB
00-0033920,EDGE
00-0033926,CB
00-0033928,CB
00-0033929,IDL
00-0033930,CB
00-0033935,EDGE
00-0033939,EDGE
00-0033940,IDL
00-0033941,S
00-0033945,EDGE
00-0033952,IDL
00-0033954,LB
00-0033956,LB
00-0033963,IDL
00-0033964,EDGE
00-0033969,EDGE
00-0033973,LB
00-0034019,IDL
00-0034054,UNKNOWN
00-0034071,CB
00-0034073,UNKNOWN
00-0034088,CB
00-0034091,S
00-0034096,CB
00-0034104,UNKNOWN
00-0034111,S
00-0034116,S
00-0034125,IDL
00-0034132,UNKNOWN
00-0034139,LB
00-0034145,CB
00-0034154,EDGE
00-0034185,IDL
00-0034203,CB
00-0034204,EDGE
00-0034234,IDL
00-0034248,S
00-0034251,IDL
00-0034263,S
00-0034264,IDL
00-0034265,CB
00-0034266,LB
00-0034274,CB
00-0034277,S
00-0034278,CB
00-0034285,IDL
00-0034286,UNKNOWN
00-0034296,LB
00-0034297,UNKNOWN
00-0034302,LB
00-0034310,CB
00-0034318,IDL
00-0034320,IDL
00-0034325,IDL
00-0034333,IDL
00-0034334,UNKNOWN
00-0034335,LB
00-0034344,EDGE
00-0034350,EDGE
00-0034354,EDGE
00-0034355,S
00-0034356,CB
00-0034357,CB
00-0034359,EDGE
00-0034360,EDGE
00-0034361,S
00-0034363,IDL
00-0034367,UNKNOWN
00-0034368,LB
00-0034371,IDL
00-0034372,LB
00-0034373,EDGE
00-0034374,S
00-0034375,LB
00-0034376,CB
00-0034377,CB
00-0034381,EDGE
00-0034384,CB
00-0034385,LB
00-0034386,UNKNOWN
00-0034387,IDL
00-0034388,CB
00-0034389,S
00-0034391,CB
00-0034394,IDL
00-0034396,LB
00-0034397,IDL
00-0034404,EDGE
00-0034418,UNKNOWN
00-0034419,UNKNOWN
00-0034424,LB
00-0034430,LB
00-0034431,LB
00-0034433,UNKNOWN
00-0034435,CB
00-0034440,UNKNOWN
00-0034446,CB
00-0034449,UNKNOWN
00-0034461,IDL
00-0034465,S
00-0034468,CB
00-0034473,EDGE
00-0034485,S
00-0034487,UNKNOWN
00-0034488,CB
00-0034490,LB
00-0034496,S
00-0034500,LB
00-0034502,CB
00-0034511,EDGE
00-0034514,CB
00-0034515,CB
00-0034516,CB
00-0034527,S
00-0034533,S
00-0034540,CB
00-0034545,CB
00-0034573,CB
00-0034587,IDL
00-0034588,EDGE
00-0034590,IDL
00-0034591,CB
00-0034594,S
00-0034607,S
00-0034612,EDGE
00-0034623,S
00-0034639,CB
00-0034641,IDL
00-0034646,UNKNOWN
00-0034657,IDL
00-0034659,EDGE
00-0034662,S
00-0034673,LB
00-0034674,LB
00-0034677,IDL
00-0034680,S
00-0034682,EDGE
00-0034683,CB
00-0034720,LB
00-0034723,IDL
00-0034726,S
00-0034728,CB
00-0034730,LB
00-0034736,S
00-0034743,LB
00-0034745,S
00-0034746,IDL
00-0034751,CB
00-0034754,LB
00-0034756,CB
00-0034760,IDL
00-0034773,IDL
00-0034779,S
00-0034780,CB
00-0034781,LB
00-0034782,IDL
00-0034787,LB
00-0034789,S
00-0034792,CB
00-0034796,CB
00-0034797,LB
00-0034800,IDL
00-0034801,LB
00-0034804,UNKNOWN
00-0034805,EDGE
00-0034806,LB
00-0034807,EDGE
00-0034810,IDL
00-0034812,LB
00-0034813,EDGE
00-0034815,LB
00-0034818,IDL
00-0034825,EDGE
00-0034831,EDGE
00-0034832,EDGE
00-0034834,EDGE
00-0034835,LB
00-0034839,CB
00-0034842,IDL
00-0034843,CB
00-0034846,LB
