season,player_id,player_name,plays_rush,rush_epa,rush_epa_per_play,plays_rec,rec_epa,rec_epa_per_play,plays_total,rush_WAR,rec_WAR,total_WAR,total_WAR_per_300
2021,00-0025394,A.Peterson,38.0,-9.864625861,-0.25959541739473685,4.0,-1.2776449680000002,-0.31941124200000004,42.0,-0.03547701943277505,-0.03360632890365159,-0.06908334833642664,-0.49345248811733317
2021,00-0027685,E.Sanders,2.0,2.0253410599999997,1.0126705299999998,45.0,58.70965325,1.3046589611111112,47.0,0.023705973323162592,0.35643291179371867,0.38013888511688126,2.4264184156396675
2021,00-0027793,A.Brown,1.0,0.30848393,0.30848393,42.0,48.225868324000004,1.1482349600952382,43.0,0.004775734400274764,0.266642496139799,0.2714182305400738,1.8936155619074917
2021,00-0027966,M.Ingram,160.0,-31.3234401014,-0.19577150063374998,27.0,4.3326941009999995,0.16047015188888888,187.0,-0.0467454999902086,-0.09662364839110552,-0.14336914838131412,-0.230003981360397
2021,00-0028002,R.Cobb,1.0,-0.4612763,-0.4612763,28.0,38.57500975,1.3776789196428572,29.0,-0.0029605493183182006,0.2423288084885092,0.239368259170191,2.476223370726114
2021,00-0029239,B.Bolden,45.0,-1.0987140570000005,-0.024415867933333342,45.0,29.261443422,0.6502542982666667,90.0,0.06435035045457543,0.06047100397462314,0.12482135442919857,0.4160711814306619
2021,00-0029892,K.Juszczyk,11.0,-2.475751,-0.2250682727272727,32.0,21.063959116899998,0.6582487224031249,43.0,-0.0064525922502439255,0.045572673905460624,0.0391200816552167,0.27293080224569793
2021,00-0030035,A.Thielen,1.0,-0.19406018,-0.19406018,67.0,57.771588305,0.8622625120149254,68.0,-0.00027496017258955765,0.232793905627655,0.23251894545506546,1.0258188770076417
2021,00-0030061,Z.Ertz,1.0,0.45529273,0.45529273,77.0,62.9639049638,0.8177130514779221,78.0,0.006251199726907929,0.2330638027534506,0.23931500248035853,0.9204423172321482
2021,00-0030288,R.Burkhead,122.0,-5.235463517999999,-0.04291363539344261,25.0,8.287999735,0.3315199894,147.0,0.15178027042146092,-0.04648899499455611,0.1052912754269048,0.2148801539324588
