season,player,player_id,team,position,position_group,player_game_count,snap_counts_offense,snap_counts_pass_block,snap_counts_run_block,grades_offense,grades_pass_block,grades_run_block,pressures_allowed,sacks_allowed,hits_allowed,hurries_allowed,block_percent,pass_block_percent,pbe,penalties,declined_penalties
2023,Broderick Jones,124025,PIT,T,T,15,832,450,382,57.3,47.6,61.2,34,5,5,24,100.0,100.0,95.3,2,0
2023,Andrus Peat,9446,NO,T,T,14,809,476,333,60.2,54.5,62.1,30,2,8,20,100.0,100.0,96.5,6,1
2023,Cody Whitehair,10690,CHI,G,G,14,787,454,333,45.0,55.0,42.4,22,3,4,15,100.0,100.0,97.1,2,0
2023,Ryan Ramczyk,11787,NO,T,T,12,785,458,327,73.5,73.6,67.3,25,4,2,19,100.0,100.0,96.7,4,1
2023,Michael Deiter,38554,HOU,C,C,14,781,506,275,56.3,59.4,55.2,25,3,2,20,100.0,100.0,97.0,5,0
2023,Dillon Radunz,30551,TEN,T,T,13,774,455,319,67.2,59.7,78.7,36,5,5,26,100.0,100.0,95.2,11,0
2023,Sidy Sow,59675,NE,G,G,13,772,486,286,64.4,46.3,71.3,27,5,4,18,100.0,100.0,96.6,2,0
2023,Daniel Brunskill,34807,TEN,G,G,14,768,449,319,67.1,67.7,62.5,26,2,5,19,100.0,100.0,96.6,1,0
2023,Justin Pugh,7800,NYG,G,G,12,763,473,290,41.6,37.8,47.3,37,8,2,27,100.0,100.0,95.0,5,1
2023,John Michael Schmitz Jr.,55238,NYG,C,C,13,755,484,271,41.4,26.9,51.3,30,5,2,23,100.0,100.0,96.2,4,1
2023,Ezra Cleveland,41973,JAX,G,G,13,749,526,223,59.5,57.4,60.4,28,3,4,21,100.0,100.0,96.8,3,0
2023,Dalton Risner,47008,MIN,G,G,12,745,485,260,57.1,67.4,50.0,30,0,11,19,100.0,100.0,96.7,3,1
2023,Teven Jenkins,41534,CHI,G,G,12,731,397,334,72.6,68.6,71.7,17,3,3,11,100.0,100.0,97.4,4,0
2023,Braxton Jones,60092,CHI,T,T,11,724,421,303,68.8,70.8,68.2,32,2,2,28,100.0,100.0,95.8,9,2
2023,Cam Jurgens,84014,PHI,G,G,12,713,427,286,61.4,51.6,64.8,25,1,2,22,100.0,100.0,96.8,3,1
2023,Dawand Jones,101550,CLE,T,T,11,712,419,293,64.8,73.0,53.6,21,3,3,15,100.0,100.0,96.9,2,0
2023,Geron Christian,46375,CLE,T,T,11,708,453,255,45.6,55.0,37.2,39,5,6,28,100.0,100.0,94.9,5,0
2023,Kolton Miller,47013,LV,T,T,13,705,428,277,80.2,79.3,73.3,16,4,2,10,100.0,100.0,97.5,1,0
2023,Will Clapp,39386,LAC,C,C,14,702,464,238,56.7,55.1,56.9,24,1,6,17,100.0,100.0,97.1,1,0
2023,Blake Freeland,102844,IND,T,T,14,701,426,275,44.2,42.6,47.6,45,4,4,37,100.0,100.0,93.8,7,1
2023,Nate Davis,46808,CHI,G,G,11,663,384,279,52.9,47.9,55.3,29,1,7,21,100.0,100.0,95.9,6,5
2023,Anthony Bradford,99103,SEA,G,G,12,659,419,240,51.7,38.9,58.5,28,1,5,22,100.0,100.0,96.3,4,1
2023,Walker Little,52287,JAX,T,T,12,659,439,220,58.8,62.6,53.8,26,2,3,21,100.0,100.0,96.6,7,0
2023,Saahdiq Charles,59820,WAS,G,G,11,643,455,188,55.5,53.9,55.4,37,4,3,30,100.0,100.0,95.2,3,0
2023,Nick Gates,29476,WAS,C,C,12,641,455,186,66.1,61.4,70.9,21,5,6,10,100.0,100.0,96.9,4,0
2023,Jon Feliciano,9561,SF,G,G,13,629,350,279,79.8,63.5,85.6,22,1,3,18,100.0,100.0,96.6,2,0
2023,James Hudson III,59854,CLE,T,T,16,622,369,252,44.7,48.4,50.7,36,5,8,23,99.8,99.7,94.1,9,2
2023,Lester Cotton,46085,MIA,G,G,11,616,362,254,46.4,57.2,45.4,20,3,3,14,100.0,100.0,96.7,5,1
2023,Kendall Lamm,10017,MIA,T,T,13,613,357,256,64.3,67.1,55.3,20,4,1,15,100.0,100.0,96.5,0,0
2023,Robert Hunt,46139,MIA,G,G,11,608,376,232,76.4,74.4,74.7,5,1,1,3,100.0,100.0,99.2,2,1
2023,Patrick Mekari,46219,BAL,T,T,18,593,323,270,71.0,63.1,72.1,20,5,3,12,100.0,100.0,95.9,2,0
2023,Terron Armstead,7856,MIA,T,T,11,585,364,221,79.3,79.5,72.6,7,1,0,6,100.0,100.0,98.9,3,0
2023,Trent Brown,9677,NE,T,T,11,579,346,233,80.2,72.8,80.7,17,3,6,8,100.0,100.0,97.0,2,1
2023,Andrew Thomas,59701,NYG,T,T,10,576,376,200,76.1,80.2,64.1,17,4,1,12,100.0,100.0,97.1,2,1
2023,Braden Smith,46794,IND,T,T,10,575,329,246,83.3,71.0,90.1,14,0,2,12,100.0,100.0,97.7,7,2
2023,Joe Noteboom,46249,LA,T,T,10,573,346,227,52.3,51.6,48.9,28,4,5,19,100.0,100.0,95.1,1,0
2023,Jedrick Wills Jr.,58467,CLE,T,T,8,569,319,250,54.0,60.1,54.4,29,3,5,21,100.0,100.0,94.6,6,0
2023,Calvin Throckmorton,28238,TEN,G,G,10,564,389,175,47.9,57.8,41.1,18,0,4,14,100.0,100.0,97.5,2,0
2023,Cole Strange,22976,NE,G,G,10,564,340,224,64.6,57.7,66.2,22,3,3,16,100.0,100.0,96.2,2,0
2023,Andre Dillard,29250,TEN,T,T,12,562,331,231,51.0,47.4,56.6,41,12,9,20,100.0,100.0,91.3,5,0
2023,Tyre Phillips,59874,NYG,T,T,10,552,334,218,52.7,64.5,40.0,21,2,2,17,100.0,100.0,96.4,3,0
2023,Cam Robinson,11789,JAX,T,T,9,535,325,210,65.4,78.8,51.0,13,3,2,8,100.0,100.0,97.4,3,1
2023,Juice Scruggs,81800,HOU,G,G,9,534,343,191,47.5,48.9,50.8,14,4,2,8,100.0,100.0,97.2,4,0
2023,Sua Opeta,45110,PHI,G,G,10,530,311,219,52.9,57.9,50.2,25,3,2,20,100.0,100.0,95.4,2,1
2023,Thayer Munford Jr.,59994,LV,T,T,14,521,303,218,74.1,59.2,80.4,28,4,5,19,100.0,100.0,94.5,1,0
2023,Mark Glowinski,9567,NYG,G,G,13,521,303,217,63.3,53.4,67.6,24,6,1,17,99.8,99.7,94.7,4,1
