game_id,play_id,season,week,posteam,defteam,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,down,ydstogo,yardline_100,qtr,score_differential,shotgun,no_huddle,qb_hit,pass_location,epa,epa_capped,air_epa,yac_epa,complete,air_yards_clean,yards_after_catch_clean,cp,cpoe,success,pass_touchdown,interception
2021_01_ARI_TEN,1053.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,,,3.0,9.0,67.0,1.0,-10.0,1.0,0.0,1.0,,-2.016182,-2.016182,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
2021_01_ARI_TEN,1090.0,2021,1,ARI,TEN,00-0035228,K.Murray,,,1.0,10.0,70.0,1.0,10.0,1.0,0.0,0.0,,-1.005823,-1.005823,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0
2021_01_ARI_TEN,1128.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0030564,D.Hopkins,2.0,12.0,72.0,2.0,10.0,1.0,0.0,0.0,left,0.79085004,0.79085004,0.79085004,0.0,1,10.0,0.0,0.63534284,36.465717,1.0,0.0,0.0
2021_01_ARI_TEN,1230.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0034775,C.Kirk,1.0,10.0,32.0,2.0,10.0,1.0,1.0,0.0,right,-0.18645564,-0.18645564,-0.7356086,0.549153,1,-1.0,4.0,0.8627416,13.7258415,0.0,0.0,0.0
2021_01_ARI_TEN,1344.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0030564,D.Hopkins,2.0,5.0,17.0,2.0,10.0,1.0,0.0,0.0,left,2.454537,2.454537,0.087884575,2.3666523,1,4.0,13.0,0.74758345,25.241655,1.0,1.0,0.0
2021_01_ARI_TEN,1409.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,1.0,10.0,75.0,2.0,-17.0,0.0,0.0,0.0,left,-0.56998795,-0.56998795,-0.5700202,3.227149e-05,0,0.0,0.0,0.75115865,-75.11587,0.0,0.0,0.0
2021_01_ARI_TEN,1431.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,2.0,10.0,75.0,2.0,-17.0,1.0,0.0,0.0,left,1.1892486,1.1892486,0.6606916,0.528557,1,9.0,3.0,0.68913215,31.086784,1.0,0.0,0.0
2021_01_ARI_TEN,1476.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0033455,A.Firkser,2.0,8.0,61.0,2.0,-17.0,1.0,0.0,0.0,right,1.1599689,1.1599689,0.19785002,0.96211886,1,6.0,5.0,0.74710023,25.289976,1.0,0.0,0.0
2021_01_ARI_TEN,1505.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032355,C.Rogers,1.0,10.0,50.0,2.0,-17.0,0.0,1.0,0.0,right,2.3385396,2.3385396,1.4745212,0.8640185,1,24.0,15.0,0.4351922,56.48078,1.0,0.0,0.0
2021_01_ARI_TEN,1540.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0027944,J.Jones,1.0,10.0,11.0,2.0,-17.0,1.0,0.0,0.0,middle,-0.43508226,-0.43508226,2.1952682,-2.6303506,0,11.0,0.0,0.4655309,-46.55309,0.0,0.0,0.0
2021_01_ARI_TEN,1562.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0032141,G.Swaim,2.0,10.0,11.0,2.0,-17.0,1.0,0.0,0.0,middle,-0.71718794,-0.71718794,2.6303506,-3.3475385,0,11.0,0.0,0.45879692,-45.879692,0.0,0.0,0.0
2021_01_ARI_TEN,1584.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0036182,N.Westbrook-Ikhine,3.0,10.0,11.0,2.0,-17.0,1.0,0.0,0.0,left,2.6278896,2.6278896,-0.70538056,3.3332703,1,7.0,3.0,0.5895866,41.04134,1.0,0.0,0.0
2021_01_ARI_TEN,1703.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0031558,M.Williams,1.0,10.0,75.0,2.0,11.0,1.0,0.0,0.0,right,-0.48457104,-0.48457104,1.4346094,-1.9191804,0,22.0,0.0,0.48109978,-48.109978,0.0,0.0,0.0
2021_01_ARI_TEN,1725.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0027942,A.Green,2.0,10.0,75.0,2.0,11.0,1.0,0.0,0.0,right,-0.61943233,-0.61943233,1.2266866,-1.8461189,0,11.0,0.0,0.6340932,-63.40932,0.0,0.0,0.0
2021_01_ARI_TEN,1747.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0036936,R.Moore,3.0,10.0,75.0,2.0,11.0,1.0,0.0,0.0,left,2.2034714,2.2034714,2.1834192,0.020052074,1,17.0,1.0,0.50456536,49.543465,1.0,0.0,0.0
2021_01_ARI_TEN,1834.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0027942,A.Green,2.0,10.0,45.0,2.0,11.0,1.0,0.0,0.0,right,-0.22021322,-0.22021322,-0.22021322,0.0,1,4.0,0.0,0.76628834,23.371166,0.0,0.0,0.0
2021_01_ARI_TEN,1858.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0034775,C.Kirk,3.0,6.0,41.0,2.0,11.0,1.0,0.0,0.0,right,2.3053234,2.3053234,2.2568176,0.04850593,1,20.0,2.0,0.37986413,62.013588,1.0,0.0,0.0
2021_01_ARI_TEN,2050.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0027944,J.Jones,1.0,10.0,75.0,2.0,-18.0,1.0,0.0,0.0,middle,0.12297958,0.12297958,0.08822707,0.034752514,1,5.0,4.0,0.8016594,19.834059,1.0,0.0,0.0
2021_01_ARI_TEN,2095.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0033955,J.McNichols,1.0,10.0,50.0,2.0,-18.0,1.0,1.0,0.0,middle,0.3764155,0.3764155,0.14989142,0.22652408,1,5.0,4.0,0.7978252,20.217478,1.0,0.0,0.0
2021_01_ARI_TEN,2119.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0033455,A.Firkser,2.0,1.0,41.0,2.0,-18.0,1.0,1.0,0.0,right,0.21272548,0.21272548,0.21272548,0.0,1,4.0,0.0,0.7821481,21.785187,1.0,0.0,0.0
2021_01_ARI_TEN,2148.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0033455,A.Firkser,1.0,10.0,37.0,2.0,-18.0,1.0,0.0,0.0,left,0.11236026,0.11236026,0.11236026,0.0,1,4.0,0.0,0.77366006,22.633993,1.0,0.0,0.0
2021_01_ARI_TEN,2222.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0027944,J.Jones,2.0,1.0,28.0,2.0,-18.0,1.0,0.0,0.0,left,-0.20426404,-0.20426404,0.91776633,-1.1220304,0,13.0,0.0,0.6383316,-63.83316,0.0,0.0,0.0
2021_01_ARI_TEN,2244.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,3.0,1.0,28.0,2.0,-18.0,1.0,0.0,0.0,right,-0.33384582,-0.33384582,4.483992,-4.8178377,0,28.0,0.0,0.37107432,-37.107433,0.0,0.0,0.0
2021_01_ARI_TEN,2287.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0036936,R.Moore,1.0,10.0,64.0,2.0,18.0,1.0,0.0,0.0,left,0.11082713,0.11082713,-0.10056536,0.21139249,1,-3.0,15.0,0.8773423,12.265772,1.0,0.0,0.0
2021_01_ARI_TEN,2345.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0030564,D.Hopkins,1.0,10.0,52.0,2.0,18.0,1.0,0.0,0.0,left,-0.07172497,-0.07172497,0.53081876,-0.6025437,0,14.0,0.0,0.6076543,-60.765427,0.0,0.0,0.0
2021_01_ARI_TEN,2367.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0034681,C.Edmonds,2.0,10.0,52.0,2.0,18.0,1.0,0.0,0.0,middle,-0.21326727,-0.21326727,-0.21326727,0.0,1,0.0,36.0,0.5790664,42.09336,0.0,0.0,0.0
2021_01_ARI_TEN,2465.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0034681,C.Edmonds,2.0,6.0,80.0,3.0,18.0,1.0,1.0,0.0,right,-0.37312368,-0.37312368,-1.7767347,1.4036111,1,-6.0,9.0,0.86857456,13.142544,0.0,0.0,0.0
2021_01_ARI_TEN,2503.0,2021,1,ARI,TEN,00-0035228,K.Murray,00-0030155,D.Harris,3.0,3.0,77.0,3.0,18.0,1.0,0.0,0.0,left,-3.79978,-3.79978,2.4448552,-6.244635,0,21.0,0.0,0.42120376,-42.120377,0.0,0.0,1.0
2021_01_ARI_TEN,2529.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,1.0,10.0,32.0,3.0,-18.0,1.0,0.0,0.0,left,1.1276942,1.1276942,0.9599931,0.16770105,1,14.0,5.0,0.5884017,41.159832,1.0,0.0,0.0
2021_01_ARI_TEN,2553.0,2021,1,TEN,ARI,00-0029701,R.Tannehill,00-0035676,A.Brown,1.0,10.0,13.0,3.0,-18.0,1.0,0.0,0.0,middle,1.7036234,1.7036234,1.7036234,0.0,1,13.0,0.0,0.48690128,51.30987,1.0,1.0,0.0
