game_id,play_id,season,week,posteam,defteam,rusher_player_id,rusher_player_name,down,ydstogo,yardline_100,qtr,score_differential,shotgun,no_huddle,run_location,run_gap,epa,epa_capped,rushing_yards,success,rush_touchdown,fumble_lost
2021_01_ARI_TEN,2880.0,2021,1,TEN,ARI,00-0032764,D.Henry,2.0,6.0,71.0,3.0,-18.0,0.0,0.0,right,tackle,-0.72824275,-0.72824275,1.0,0.0,0.0,0.0
2021_01_ARI_TEN,3020.0,2021,1,TEN,ARI,00-0032764,D.Henry,1.0,10.0,90.0,3.0,-18.0,0.0,0.0,right,tackle,1.3537602,1.3537602,19.0,1.0,0.0,0.0
2021_01_ARI_TEN,3041.0,2021,1,TEN,ARI,00-0032764,D.Henry,1.0,10.0,71.0,3.0,-18.0,0.0,0.0,middle,,-0.18067317,-0.18067317,4.0,0.0,0.0,0.0
2021_01_ARI_TEN,3062.0,2021,1,TEN,ARI,00-0032764,D.Henry,2.0,6.0,67.0,3.0,-18.0,0.0,1.0,left,guard,0.8500983,0.8500983,8.0,1.0,0.0,0.0
2021_01_ARI_TEN,3106.0,2021,1,TEN,ARI,00-0032764,D.Henry,1.0,15.0,64.0,3.0,-18.0,1.0,0.0,right,tackle,0.30896926,0.30896926,8.0,1.0,0.0,0.0
2021_01_ARI_TEN,3127.0,2021,1,TEN,ARI,00-0032764,D.Henry,2.0,7.0,56.0,3.0,-18.0,0.0,1.0,left,end,-0.93719333,-0.93719333,-1.0,0.0,0.0,0.0
2021_01_ARI_TEN,3177.0,2021,1,ARI,TEN,00-0034681,C.Edmonds,1.0,10.0,33.0,3.0,18.0,1.0,0.0,left,end,1.2228363,1.2228363,16.0,1.0,0.0,0.0
2021_01_ARI_TEN,3203.0,2021,1,ARI,TEN,00-0033553,J.Conner,1.0,10.0,17.0,3.0,18.0,0.0,0.0,left,guard,-0.106073536,-0.106073536,4.0,0.0,0.0,0.0
2021_01_ARI_TEN,3224.0,2021,1,ARI,TEN,00-0033553,J.Conner,2.0,6.0,13.0,3.0,18.0,0.0,0.0,left,guard,-0.42664275,-0.42664275,2.0,0.0,0.0,0.0
2021_01_ARI_TEN,3332.0,2021,1,TEN,ARI,00-0032764,D.Henry,2.0,10.0,75.0,3.0,-25.0,1.0,0.0,middle,,-0.29451162,-0.29451162,4.0,0.0,0.0,0.0
2021_01_ARI_TEN,3377.0,2021,1,TEN,ARI,00-0032764,D.Henry,1.0,10.0,61.0,3.0,-25.0,1.0,0.0,left,guard,0.3280685,0.3280685,7.0,1.0,0.0,0.0
2021_01_ARI_TEN,3546.0,2021,1,ARI,TEN,00-0034681,C.Edmonds,1.0,10.0,43.0,3.0,25.0,0.0,0.0,middle,,0.35180208,0.35180208,6.0,1.0,0.0,0.0
2021_01_ARI_TEN,3586.0,2021,1,ARI,TEN,00-0034681,C.Edmonds,2.0,4.0,37.0,4.0,25.0,1.0,0.0,right,guard,-0.43156448,-0.43156448,1.0,0.0,0.0,0.0
2021_01_ARI_TEN,3624.0,2021,1,ARI,TEN,00-0034681,C.Edmonds,3.0,3.0,36.0,4.0,25.0,1.0,0.0,left,tackle,1.1563729,1.1563729,5.0,1.0,0.0,0.0
2021_01_ARI_TEN,3645.0,2021,1,ARI,TEN,00-0033553,J.Conner,1.0,10.0,31.0,4.0,25.0,1.0,0.0,right,end,-0.15989111,-0.15989111,3.0,0.0,0.0,0.0
2021_01_ARI_TEN,3666.0,2021,1,ARI,TEN,00-0033553,J.Conner,2.0,7.0,28.0,4.0,25.0,1.0,0.0,right,tackle,-0.31895053,-0.31895053,2.0,0.0,0.0,0.0
2021_01_ARI_TEN,3687.0,2021,1,ARI,TEN,00-0033553,J.Conner,3.0,5.0,26.0,4.0,25.0,1.0,0.0,left,end,-1.1234683,-1.1234683,1.0,0.0,0.0,0.0
2021_01_ARI_TEN,3893.0,2021,1,ARI,TEN,00-0034681,C.Edmonds,1.0,10.0,66.0,4.0,25.0,1.0,0.0,left,end,-0.24922302,-0.24922302,2.0,0.0,0.0,0.0
2021_01_ARI_TEN,3943.0,2021,1,ARI,TEN,00-0033553,J.Conner,1.0,10.0,55.0,4.0,25.0,1.0,0.0,middle,,0.19048476,0.19048476,6.0,1.0,0.0,0.0
2021_01_ARI_TEN,3987.0,2021,1,ARI,TEN,00-0033553,J.Conner,2.0,9.0,54.0,4.0,25.0,1.0,0.0,middle,,0.79860675,0.79860675,8.0,1.0,0.0,0.0
2021_01_ARI_TEN,4008.0,2021,1,ARI,TEN,00-0033553,J.Conner,3.0,1.0,46.0,4.0,25.0,1.0,0.0,middle,,0.3711284,0.3711284,2.0,1.0,0.0,0.0
2021_01_ARI_TEN,4029.0,2021,1,ARI,TEN,00-0033553,J.Conner,1.0,10.0,44.0,4.0,25.0,0.0,0.0,right,guard,-0.77286106,-0.77286106,1.0,0.0,0.0,0.0
2021_01_ARI_TEN,4050.0,2021,1,ARI,TEN,00-0033553,J.Conner,2.0,9.0,43.0,4.0,25.0,1.0,0.0,left,end,-0.19850719,-0.19850719,1.0,0.0,0.0,0.0
2021_01_ARI_TEN,4071.0,2021,1,ARI,TEN,00-0035228,K.Murray,3.0,8.0,42.0,4.0,25.0,1.0,0.0,left,tackle,-1.1591822,-1.1591822,1.0,0.0,0.0,0.0
2021_01_ARI_TEN,4162.0,2021,1,TEN,ARI,00-0033955,J.McNichols,1.0,10.0,97.0,4.0,-25.0,0.0,0.0,right,guard,0.10900067,0.10900067,8.0,1.0,0.0,0.0
2021_01_ARI_TEN,4183.0,2021,1,TEN,ARI,00-0033955,J.McNichols,2.0,2.0,89.0,4.0,-25.0,1.0,0.0,middle,,-0.064852126,-0.064852126,1.0,0.0,0.0,0.0
2021_01_ARI_TEN,4204.0,2021,1,TEN,ARI,00-0036698,M.Sargent,3.0,1.0,88.0,4.0,-25.0,1.0,0.0,middle,,0.008294709,0.008294709,2.0,1.0,0.0,0.0
2021_01_BAL_LV,106.0,2021,1,LV,BAL,00-0032268,M.Mariota,3.0,1.0,66.0,1.0,0.0,1.0,0.0,middle,,2.1039906,2.1039906,31.0,1.0,0.0,0.0
2021_01_BAL_LV,127.0,2021,1,LV,BAL,00-0033118,K.Drake,1.0,10.0,35.0,1.0,0.0,0.0,0.0,right,guard,-0.90755063,-0.90755063,-1.0,0.0,0.0,0.0
2021_01_BAL_LV,148.0,2021,1,LV,BAL,00-0031280,D.Carr,2.0,11.0,36.0,1.0,0.0,1.0,0.0,middle,,-0.45008487,-0.45008487,2.0,0.0,0.0,0.0
2021_01_BAL_LV,272.0,2021,1,LV,BAL,00-0031280,D.Carr,3.0,17.0,28.0,1.0,0.0,1.0,0.0,,,-2.2533498,-2.2533498,0.0,0.0,0.0,0.0
