season,player,player_id,team,position,position_group,player_game_count,snap_counts_offense,snap_counts_pass_block,snap_counts_run_block,grades_offense,grades_pass_block,grades_run_block,pressures_allowed,sacks_allowed,hits_allowed,hurries_allowed,block_percent,pass_block_percent,pbe,penalties,declined_penalties,replacement_pass_block,replacement_run_block,pass_block_above_replacement,run_block_above_replacement,team_pass_block_snaps,team_run_block_snaps,team_offense_snaps,pass_block_snap_share,run_block_snap_share,offense_snap_share,pass_block_epa_contribution,run_block_epa_contribution,total_epa_contribution,war
2021,Trey Smith,62960,KC,G,G,20,1404,956,448,72.7,61.5,78.2,57,5,10,42,100.0,100.0,96.5,11,1,48.5,53.4,13.0,24.800000000000004,4783,2258,7044,0.1998745557181685,0.19840566873339238,0.19931856899488926,5.508542755592724,10.018057750221438,15.526600505814162,0.5068056908433213
2021,Joe Thuney,10712,KC,G,G,20,1394,956,438,81.2,90.5,70.6,17,1,2,14,100.0,100.0,99.0,8,2,48.5,53.4,42.0,17.199999999999996,4783,2258,7044,0.1998745557181685,0.19397697077059345,0.19789892106757523,17.796830441145726,6.792918334809564,24.58974877595529,0.8026370364456193
2021,Creed Humphrey,59996,KC,C,C,20,1394,956,438,91.8,79.1,93.1,12,3,1,8,100.0,100.0,99.2,7,2,53.45,55.375,25.64999999999999,37.724999999999994,4783,2258,7044,0.1998745557181685,0.19397697077059345,0.19789892106757523,10.868778590842563,14.899002568644816,25.767781159487377,0.8410893374337344
2021,David Edwards,35941,LA,G,G,21,1365,838,527,68.4,70.7,65.1,41,7,4,30,100.0,100.0,97.0,5,1,48.5,53.4,22.200000000000003,11.699999999999996,4217,2687,6904,0.19871946881669433,0.1961295124674358,0.1977114716106605,9.352533080388902,4.67204034238928,14.024573422778182,0.4577778387260228
2021,Austin Corbett,46290,LA,G,G,21,1360,838,522,69.6,63.1,68.5,41,3,10,28,100.0,100.0,97.2,3,0,48.5,53.4,14.600000000000001,15.100000000000001,4217,2687,6904,0.19871946881669433,0.194268701153703,0.1969872537659328,6.150764998814323,5.972519240788984,12.123284239603308,0.39571762292984464
2021,Orlando Brown Jr.,46227,KC,T,T,19,1337,916,421,75.4,74.4,68.4,45,6,13,26,100.0,100.0,97.0,7,3,54.75,55.05,19.650000000000006,13.350000000000009,4783,2258,7044,0.19151160359606942,0.18644818423383525,0.1898069278818853,7.9779903826050615,5.067773516386185,13.045763898991247,0.4258283957863979
2021,Alex Cappa,66578,TB,G,G,19,1327,896,431,71.3,67.5,69.0,35,5,7,23,100.0,100.0,97.7,1,0,48.5,53.4,19.0,15.600000000000001,4505,2228,6740,0.19889012208657048,0.19344703770197486,0.19688427299703265,8.011294117647058,6.144187432675045,14.155481550322103,0.4620508271365933
2021,Jonah Williams,41651,CIN,T,T,20,1301,808,493,74.5,67.5,75.6,51,10,7,34,100.0,100.0,96.0,5,0,54.75,55.05,12.75,20.549999999999997,4224,2645,6871,0.19128787878787878,0.18638941398865785,0.18934652888953574,5.170511363636363,7.798495803402645,12.969007167039008,0.4233229697886489
2021,Ryan Jensen,7985,TB,C,C,19,1296,886,410,68.3,57.1,77.1,27,4,5,18,100.0,100.0,98.2,6,2,53.45,55.375,3.6499999999999986,21.724999999999994,4505,2228,6740,0.19667036625971143,0.18402154398563733,0.19228486646884274,1.5218352941176465,8.139659335727107,9.661494629844753,0.31536204326400635
2021,Daryl Williams,9535,BUF,G,G,19,1292,850,442,66.8,72.3,59.0,44,4,9,31,100.0,100.0,97.0,6,0,48.5,53.4,23.799999999999997,5.600000000000001,4358,2433,6798,0.1950435979807251,0.1816687217427045,0.19005589879376286,9.841119779715465,2.0713140978216202,11.912433877537085,0.38883523013745447
2021,Donovan Smith,9467,TB,T,T,19,1292,884,408,80.5,80.1,69.9,43,4,4,35,100.0,100.0,97.2,8,2,54.75,55.05,25.349999999999994,14.850000000000009,4505,2228,6740,0.19622641509433963,0.18312387791741472,0.1916913946587537,10.545599999999997,5.536677199281869,16.082277199281865,0.5249436026426861
2021,Mitch Morse,9482,BUF,C,C,19,1284,851,433,63.4,71.8,58.8,26,2,2,22,100.0,100.0,98.2,5,1,53.45,55.375,18.349999999999994,3.424999999999997,4358,2433,6798,0.195273061037173,0.17796958487464037,0.18887908208296558,7.596512620468102,1.2410353062063286,8.83754792667443,0.2884674968395045
2021,Tyler Biadasz,41178,DAL,C,C,18,1274,819,455,65.1,69.3,68.7,22,1,4,17,100.0,100.0,98.5,11,0,53.45,55.375,15.849999999999994,13.325000000000003,4128,2472,6615,0.19840116279069767,0.18406148867313915,0.1925925925925926,6.666675872093021,4.993532969255664,11.660208841348684,0.3806023214807542
