season,team,total_offensive_epa,total_offensive_plays,rushing_epa,passing_epa,rushing_plays,passing_plays,offensive_epa_per_play,rushing_epa_per_play,passing_epa_per_play
2021,ARI,66.06696262278,1213,-19.452038836200003,85.51900145898001,472.0,741.0,0.054465756490338,-0.04121194668686441,0.1154102583791903
2021,ATL,-79.83472012224,1038,-59.212235048400004,-20.622485073839997,373.0,665.0,-0.07691206177479769,-0.15874593846756033,-0.031011255750135334
2021,BAL,7.8165778745,1225,-21.363346094999997,29.179923969500006,448.0,777.0,0.00638087989755102,-0.047686040390625,0.03755459970334621
2021,BUF,170.8746179993,1292,-1.2747560584999977,172.14937405779997,447.0,845.0,0.13225589628428794,-0.0028518032628635295,0.20372706989088754
2021,CAR,-147.60461886945,1139,-38.6526546449,-108.95196422455001,426.0,713.0,-0.12959141252805093,-0.09073393109131454,-0.1528078039615007
2021,CHI,-94.16993236827001,1109,-43.30749946339999,-50.86243290487,414.0,695.0,-0.08491427625633004,-0.10460748662657003,-0.07318335669765468
2021,CIN,65.90453087290001,1336,-52.20662628819999,118.1111571611,500.0,836.0,0.049329738677320364,-0.10441325257639998,0.14128128847021532
2021,CLE,16.9179492418,1093,7.891264769799999,9.026684472,465.0,628.0,0.015478453103202195,0.016970461870537634,0.014373701388535031
2021,DAL,90.4444519341,1278,-26.193672797999994,116.63812473210001,463.0,815.0,0.07077030667769953,-0.05657380733909286,0.14311426347496933
2021,DEN,21.522633921180002,1073,-40.6642170954,62.18685101658001,438.0,635.0,0.02005837271312209,-0.09284067829999999,0.09793204884500789
2021,DET,-62.8619909628,1100,-52.432953244,-10.429037718799997,425.0,675.0,-0.05714726451163636,-0.1233716546917647,-0.015450426250074069
2021,GB,140.95642168265,1148,-0.5033587121900034,141.45978039483998,434.0,714.0,0.12278433944481706,-0.0011598127008986252,0.19812294172946776
2021,HOU,-139.9276838744,1060,-85.0058481798,-54.921835694600006,405.0,655.0,-0.13200724893811322,-0.20989098316,-0.08385013083145039
2021,IND,64.42745512236,1098,29.861732624860004,34.5657224975,473.0,625.0,0.05867709938284153,0.06313262711386892,0.055305155996
2021,JAX,-85.75975397392,1074,-42.242025142100005,-43.51772883182001,367.0,707.0,-0.07985079513400373,-0.11510088594577658,-0.06155265747074966
2021,KC,208.00357993142,1385,-11.523828133080002,219.52740806449998,432.0,953.0,0.15018309020319134,-0.026675528085833337,0.23035404833630638
2021,LA,89.8822600777,1349,-84.41918525506001,174.30144533276,508.0,841.0,0.06662880658094884,-0.16617949853358271,0.2072549885050654
2021,LAC,105.95212198930001,1180,-29.629694441499996,135.58181643080002,386.0,794.0,0.0897899338892373,-0.07676086642875647,0.1707579552025189
2021,LV,-0.35248896184000067,1204,-66.87279425439999,66.52030529256,419.0,785.0,-0.00029276491847176137,-0.15960094094128877,0.08473924241090446
2021,MIA,-51.30797386525,1140,-73.01695336705001,21.708979501800012,405.0,735.0,-0.04500699461864035,-0.1802887737458025,0.02953602653306124
